Configuracion,Epocas,Learning_Rate,Precision,Correctas,Total,Tiempo_Carga,Tiempo_Entrenamiento,Tiempo_Evaluacion,Tiempo_Total
BCELoss_Adam_Low,30,0.1000,21.50,43,200,9,2692,109,2810
BCELoss_Adam_High,10,0.0010,89.50,179,200,8,22133,112,22253
BCELoss_SGD_Low,10,0.0010,11.50,23,200,8,17973,111,18092
BCELoss_SGD_High,30,0.1000,87.50,175,200,8,53897,111,54016
MSELoss_Adam_Low,30,0.1000,8.50,17,200,8,74058,113,74179
MSELoss_Adam_High,10,0.0010,87.50,175,200,8,21763,110,21881
MSELoss_SGD_Low,10,0.0010,21.50,43,200,7,17834,111,17952
MSELoss_SGD_High,30,0.1000,74.00,148,200,8,54759,111,54878
