Configuracion,Epocas,Learning_Rate,Precision,Correctas,Total,Tiempo_Carga,Tiempo_Entrenamiento,Tiempo_Evaluacion,Tiempo_Total
BCELoss_Adam_Low,30,0.1000,46.50,93,200,8,2321,109,2438
BCELoss_Adam_High,10,0.0010,88.50,177,200,8,21476,109,21593
BCELoss_SGD_Low,10,0.0010,14.00,28,200,8,17587,110,17705
BCELoss_SGD_High,30,0.1000,87.50,175,200,8,55103,110,55221
MSELoss_Adam_Low,30,0.1000,14.00,28,200,8,73222,113,73343
MSELoss_Adam_High,10,0.0010,87.50,175,200,8,22042,112,22162
MSELoss_SGD_Low,10,0.0010,6.50,13,200,8,18038,110,18156
MSELoss_SGD_High,30,0.1000,76.50,153,200,11,54102,110,54223
