Configuracion,Epocas,Learning_Rate,Precision,Correctas,Total,Tiempo_Carga,Tiempo_Entrenamiento,Tiempo_Evaluacion,Tiempo_Total
BCELoss_Adam_Low,30,0.1000,40.50,81,200,8,896,107,1011
BCELoss_Adam_High,10,0.0010,89.50,179,200,9,22045,113,22167
BCELoss_SGD_Low,10,0.0010,10.00,20,200,9,17980,109,18098
BCELoss_SGD_High,30,0.1000,85.00,170,200,8,53870,113,53991
MSELoss_Adam_Low,30,0.1000,8.50,17,200,8,73797,110,73915
MSELoss_Adam_High,10,0.0010,88.50,177,200,8,22261,113,22382
MSELoss_SGD_Low,10,0.0010,12.50,25,200,8,18046,111,18165
MSELoss_SGD_High,30,0.1000,70.50,141,200,8,53825,110,53943
