Configuracion,Epocas,Learning_Rate,Precision,Correctas,Total,Tiempo_Carga,Tiempo_Entrenamiento,Tiempo_Evaluacion,Tiempo_Total
BCELoss_Adam_Low,30,0.1000,42.00,84,200,8,897,111,1016
BCELoss_Adam_High,10,0.0010,91.00,182,200,8,22150,111,22269
BCELoss_SGD_Low,10,0.0010,15.50,31,200,8,18151,111,18270
BCELoss_SGD_High,30,0.1000,86.50,173,200,8,53968,111,54087
MSELoss_Adam_Low,30,0.1000,14.00,28,200,8,73368,112,73488
MSELoss_Adam_High,10,0.0010,89.50,179,200,8,21834,110,21952
MSELoss_SGD_Low,10,0.0010,15.50,31,200,8,18017,111,18136
MSELoss_SGD_High,30,0.1000,73.50,147,200,8,54145,114,54267
